序号,题目,作者,来源,发表时间,被引,下载
87,人机互信的知识自动化与混合增强智能：复杂系统认知管控机制及其应用（英文）,王飞跃;郭剑波;卜广全;张俊,Frontiers of Information Technology & Electronic Engineering,2022-08-03,11,586
88,脑中风康复评定方法的研究与应用进展（英文）,刘珂舟;印梦婕;蔡正厅,Journal of Zhejiang University-Science B(Biomedicine & Biotechnology),2022-08-03,6,474
89,大闭环伺服控制随钻智能导向钻井方法,吴思源;李守定;陈冬;李晓;杜爱民,地球物理学报,2021-11-10,8,771
90,因果推理 OA,况琨;李廉;耿直;徐雷;张坤,Engineering,2020-03-15,27,1821
91,化学工程中机器学习的优势、限制、机会和挑战 OA,Maarten R.Dobbelaere;Pieter P.Plehiers;Ruben Van de Vijver;Christian V.Stevens;Kevin M.Van Geem,Engineering,2021-09-15,8,478
92,论智能起源中的简约与自洽原则（英文）,马毅;曹颖;沈向洋,Frontiers of Information Technology & Electronic Engineering,2022-09-03,5,75
93,走向新一代智能制造 OA,周济;李培根;周艳红;王柏村;臧冀原,Engineering,2018-03-22 09:46,425,7559
94,基于长短期记忆神经网络的随钻地层倾角解释方法,孙歧峰;李娜;段友祥;李洪强;唐海全,石油勘探与开发,2021-05-13 17:28,11,488
95,地质领域机器学习、深度学习及实现语言,周永章;王俊;左仁广;肖凡;沈文杰,岩石学报,2018-11-15,99,3629
96,基于模糊推理的致密砂岩气储集层重复压裂井选择方法,ARTUN Emre;KULGA Burak,石油勘探与开发,2020-01-19 09:47,10,511
97,智能无人自主系统发展趋势（英文）,Tao ZHANG;Qing LI;Chang-shui ZHANG;Hua-wei LIANG;Ping LI,Frontiers of Information Technology & Electronic Engineering,2017-01-03,64,1239
98,迈向下一代视网膜神经假体——基于脉冲的视觉计算方法 OA,余肇飞;刘健;贾杉杉;张祎晨;郑雅菁,Engineering,2020-04-15,6,278
99,初探智能社会驱动下的潜在信息与电子工程颠覆性技术 OA,吕跃广;张雅鑫;刘阳;陈伟芳;张希琳,Engineering,2021-08-15,2,155
100,视觉知识:智能创意初探（英文）,庄越挺;汤斯亮,Frontiers of Information Technology & Electronic Engineering,2021-05-03,2,89
101,神经形态计算推动深度学习应用 OA,Chris Palmer,Engineering,2020-08-15,1,170
104,十年磨一剑 两卷释百疑,,Tsinghua Science and Technology,2017-06-15,,60
106,中国材料基因工程研究进展,宿彦京;付华栋;白洋;姜雪;谢建新,金属学报,2020-10-11,115,6385
107,深度学习驱动的智能电网调度：综述（英文）,黄刚;吴飞;郭创新,Frontiers of Information Technology & Electronic Engineering,2022-05-03,8,790
108,基于循环神经网络的油田特高含水期产量预测方法,王洪亮;穆龙新;时付更;窦宏恩,石油勘探与开发,2020-07-13 11:17,68,1659
109,人机混合增强智能：研究与应用（英文）,薛建儒;胡斌;李灵犀;张军平,Frontiers of Information Technology & Electronic Engineering,2022-08-03,3,701
110,基于高黏附可拉伸高分子材料的人机交互界面,张鋆;刘忆旋;杜晓慧;杨辉,高等学校化学学报,2021-04-10,5,605
111,挑战与希望:AI 2.0时代从大数据到知识（英文）,Yue-ting ZHUANG;Fei WU;Chun CHEN;Yun-he PAN,Frontiers of Information Technology & Electronic Engineering,2017-01-03,51,1528
112,预测数据分析法在中东某老油田提高采收率中的应用,YOUSEF Alklih Mohamad;KAVOUSI Ghahfarokhi Payam;ALNUAIMI Marwan;ALATRACH Yara,石油勘探与开发,2020-03-14,6,471
113,可见光谱图与深度神经网络的垩白大米检测方法,林萍;张华哲;何坚强;邹志勇;陈永明,光谱学与光谱分析,2020-01-15,6,316
114,如何解读机器知识 OA,李发伸;李廉;殷建平;张勇;周庆国,Engineering,2020-03-15,1,70
115,《应用化学》2021年第5期出版“生物安全材料”专辑,,分析化学,2021-08-10,,95
117,基于面向任务的协同特征向量的联盟形成算法（英文）,Hao FANG;Shao-lei LU;Jie CHEN;Wen-jie CHEN,Frontiers of Information Technology & Electronic Engineering,2017-01-03,7,90
120,大数据驱动下的老油田精细注水优化方法,贾德利;刘合;张吉群;龚斌;裴晓含,石油勘探与开发,2020-03-31 14:25,61,1526
121,智能矿产地质调查方法——以甘肃大桥-崖湾地区为例,杨明莉;薛林福;冉祥金;桑学佳;燕群,岩石学报,2021-12-15,5,817
122,基于遗传算法优化卷积长短记忆混合神经网络模型的光伏发电功率预测,王晨阳;段倩倩;周凯;姚静;苏敏,物理学报,2020-05-06 10:55,75,1944
123,有机光电突触器件的研究与进展,陈皓;黄辉,高分子学报,2022-02-21 09:42,5,839
124,“人工油气藏”理论、技术及实践,邹才能;丁云宏;卢拥军;刘先贵;陈建军,石油勘探与开发,2016-12-01 11:07,120,2347
125,机器学习在有机化学中的应用,刘伊迪;杨骐;李遥;张龙;罗三中,有机化学,2020-08-07 10:09,20,1828
126,大数据与数学地球科学研究进展——大数据与数学地球科学专题代序,周永章;陈烁;张旗;肖凡;王树功,岩石学报,2018-02-15,107,2803
127,基于卷积神经网络的径向复合油藏自动试井解释方法,李道伦;刘旭亮;查文舒;杨景海;卢德唐,石油勘探与开发,2020-03-04 16:32,23,810
128,红外及太赫兹辐照下细胞膜生物效应的研究进展,薄文斐;车嵘;孔磊;张明洁;张晓波,物理学报,2021-12-20,4,380
129,蛋白质即时检测新技术,康秀芝;陈悦;田宇琳;刘梦竹;孙晶,生物化学与生物物理进展,2021-11-17 15:29,2,1295
130,大数据助地质腾飞:岩石学报2018第11期大数据专题“序”,张旗;周永章,岩石学报,2018-11-15,33,625
131,智能无线接入网：架构、关键技术和试验平台（英文）,王则予;孙耀华;袁硕,Frontiers of Information Technology & Electronic Engineering,2022-01-03,1,212
132,新书推荐：近红外光谱科普书《点亮我们生活的近红外光谱》出版,黄强;范辉,光谱学与光谱分析,2022-09-05,1,302
133,金融大脑:当金融遇见AI 2.0（英文）,Xiao-lin ZHENG;Meng-ying ZHU;Qi-bing LI;Chao-chao CHEN;Yan-chao TAN,Frontiers of Information Technology & Electronic Engineering,2019-07-03,6,332
134,智能制造控制——多尺度研究领域的挑战 OA,Han-Xiong Li;Haitao Si,Engineering,2017-10-15,14,293
136,突破数学极限——流体神经网络 OA,Dana Mackenzie,Engineering,2021-05-15,,157
141,Flash DSC跨界表征材料的热导率,张建军,物理化学学报,2019-10-11 09:11,,139
144,氧化物神经元器件及其神经网络应用 网络首发,李宗晓;胡令祥;王敬蕊;诸葛飞,无机材料学报,2023-12-21 17:40,,497
145,地球物理测井反问题机器学习数据集的构建方法研究,邵蓉波;史燕青;周军;肖立志;廖广志,地球物理学报,2023-07-10,1,376
146,实时智能地震处理系统研发及其在2021年云南漾濞MS6.4地震中的应用,廖诗荣;张红才;范莉苹;李珀任;黄玲珠,地球物理学报,2021-10-10,23,472
147,基于循环神经网络的测井曲线生成方法,张东晓;陈云天;孟晋,石油勘探与开发,2018-06-21 14:00,135,2463
148,应用于感存算一体化系统的多模调控忆阻器,张宇琦;王俊杰;吕子玉;韩素婷,物理学报,2022-04-11 18:42,1,991
149,光谱测量在激光加工在线监测上的应用研究进展,胡国庆;管迎春,光谱学与光谱分析,2021-08-12,4,796
150,面向类脑计算的物理电子学专题编者按,刘琦,物理学报,2022-07-20,,141
152,基于计算机视觉的民用基础设施的检查与监测研究进展 OA,Billie F.Spencer Jr.;Vedhus Hoskere;Yasutaka Narazaki,Engineering,2019-04-15,140,1313
155,基于非线性光谱字典学习的单幅RGB图像光谱重建方法研究,左楚;谢德红;万晓霞,光谱学与光谱分析,2022-07-05,3,227
156,基于计算机视觉技术的茶叶品质随机森林感官评价方法研究,刘鹏;吴瑞梅;杨普香;李文金;文建萍,光谱学与光谱分析,2019-01-15,32,1024
161,行人跟踪算法及应用综述,曹自强;赛斌;吕欣,物理学报,2020-03-31 09:50,65,2241
170,平行认知：面向人机交互与管理的混合智能（英文）,叶佩军;王晓;郑文博;魏庆来;王飞跃,Frontiers of Information Technology & Electronic Engineering,2022-12-03,10,278
